Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Liberia,Africa,5052986,601,20,33,,254,4,314,,119,7,,
Channel Islands,Europe,173812,570,,48,,512,,10,,3279,276,10255,59001
Togo,Africa,8271068,561,6,13,,366,5,182,2,68,2,27824,3364
Libya,Africa,6868097,520,,10,,83,,427,,76,1,19061,2775
Tanzania,Africa,59662353,509,,21,,183,,305,7,9,0.4,,
Réunion,Africa,895115,505,1,1,,460,,44,2,564,1,17200,19215
Zimbabwe,Africa,14855416,479,,4,,63,,412,,32,0.3,52905,3561
Taiwan,Asia,23815562,446,,7,,434,,5,,19,0.3,74699,3137
Montenegro,Europe,628064,359,4,9,,315,,35,,572,14,13186,20995
Vietnam,Asia,97310727,349,,,,326,,23,1,4,,275000,2826
Mauritius,Africa,1271709,337,,10,,325,,2,,265,8,152194,119677
Isle of Man,Europe,85020,336,,24,,312,,0,,3952,282,5867,69007
Suriname,South America,586465,293,,8,,74,,211,2,500,14,1165,1986
Myanmar,Asia,54398631,287,1,6,,196,4,85,,5,0.1,60128,1105
Comoros,Africa,868892,247,37,5,,159,30,83,,284,6,,
Martinique,North America,375273,236,,14,,98,,124,,629,37,,
Mongolia,Asia,3276415,204,,,,139,7,65,8,62,,19650,5997
Syria,Asia,17483684,198,11,7,,83,5,108,,11,0.4,,
Cayman Islands,North America,65696,195,,1,,143,,51,,2968,15,20370,310065
Faeroe Islands,Europe,48858,187,,,,187,,0,,3827,,11816,241844
Guyana,South America,786439,183,,12,,102,,69,1,233,15,2048,2604
Angola,Africa,32821590,176,4,9,1,66,,101,1,5,0.3,10000,305
Gibraltar,Europe,33691,176,,,,176,,0,,5224,,10734,318601
Guadeloupe,North America,400122,174,,14,,157,,3,,435,35,6900,17245
Bermuda,North America,62284,146,2,9,,132,4,5,2,2344,144,9747,156493
Eritrea,Africa,3544736,142,,,,39,,103,,40,,,
Brunei ,Asia,437345,141,,3,,138,,0,1,322,7,26195,59896
Cambodia,Asia,16711023,129,,,,126,,3,1,8,,29915,1790
Trinidad and Tobago,North America,1399357,123,,8,,109,,6,,88,6,4274,3054
Bahamas,North America,393123,104,,11,,74,,19,1,265,28,2326,5917
Burundi,Africa,11875569,104,,1,,75,,28,,9,0.08,382,32
Aruba,North America,106753,101,,3,,98,,0,,946,28,2249,21067
Monaco,Europe,39233,99,,4,,94,,1,,2523,102,16200,412918
Barbados,North America,287365,97,,7,,85,,5,1,338,24,7345,25560
Botswana,Africa,2349837,89,,1,,25,,63,1,38,0.4,33176,14118
Liechtenstein,Europe,38125,82,,1,,55,,26,,2151,26,900,23607
Sint Maarten,North America,42860,77,,15,,62,,0,,1797,350,477,11129
Bhutan,Asia,771329,68,1,,,28,3,40,,88,,22627,29335
French Polynesia,Australia/Oceania,280859,60,,,,60,,0,,214,,4578,16300
Namibia,Africa,2539221,46,1,,,19,,27,1,18,,6837,2693
Macao,Asia,649032,45,,,,45,,0,,69,,,
Saint Martin,North America,38642,42,,3,,36,,3,1,1087,78,685,17727
